Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Availability_365,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Amenities,Host_id,Host_name,Street,Country,Country_code,Location_type,Longitude,Latitude,Is_location_exact
Perfect location to reach allaround,Serviced apartment,Private room,Real Bed,1,30,flexible,3,1.0,2.0,365,63.0,0.0,50.0,50.0,1.0,7,74.0,"TV, Cable TV, Wifi, Kitchen, Paid parking off premises, Smoking allowed, Pets allowed, Free street parking, Heating, Family/kid friendly, Washer, Dryer, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Outlet covers, Children’s books and toys, Table corner guards, Fireplace guards, Room-darkening shades, Children’s dinnerware, Hot water, Bed linens, Extra pillows and blankets, Pocket wifi, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Beach essentials, Long term stays allowed, Wide hallway clearance, Wide doorway, Well-lit path to entrance, Step-free access, Wide doorway, Wide clearance to bed, Accessible-height bed, Step-free access, Wide doorway, Accessible-height toilet, Wide clearance to shower, toilet, Step-free access, Wide entryway, Host greets you, Handheld shower head, Roll-in shower",61287093,Selim Deniz,"Şişli, İstanbul, Turkey",Turkey,TR,Point,28.99616,41.05978,False
Sunny Apartment in Surry Hills- great location!,Apartment,Private room,Real Bed,2,5,moderate,1,1.0,1.0,0,60.0,0.0,0.0,20.0,1.0,2,90.0,"TV, Wifi, Kitchen, Free parking on premises, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hair dryer, Iron",139376292,Belinda,"Surry Hills, NSW, Australia",Australia,AU,Point,151.21005,-33.88883,True
Habitación acogedora en zona muy tranquila,Apartment,Private room,Real Bed,2,4,moderate,1,1.0,1.0,72,40.0,509.4304235090752,94.07480119284294,0.0,1.0,7,97.0,"TV, Wifi, Air conditioning, Kitchen, Elevator, Heating, Washer, First aid kit, Essentials, Hair dryer, Iron, Private living room, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Luggage dropoff allowed, Host greets you",8429163,Priscila & Juliano,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.14653,41.42339,True
Vibrant Flat with Rooftop Terrace and City Views,Apartment,Entire home/apt,Real Bed,60,180,moderate,2,1.0,1.0,220,90.0,400.0,60.0,10.0,2.0,6,100.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Gym, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private entrance, Hot water, Body soap, Bath towel, Toilet paper, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Patio or balcony, Luggage dropoff allowed, Long term stays allowed, Full kitchen, Paid parking on premises, Bedroom comforts, Bathroom essentials",26781307,Ariel,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.13676,41.38121,False
Amazing place in Barcelona centre,Apartment,Private room,Real Bed,7,60,flexible,1,1.0,1.0,89,59.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Wifi, Air conditioning, Kitchen, Smoking allowed, Pets live on this property, Elevator, Buzzer/wireless intercom, Heating, Washer, Dryer, Smoke detector, Essentials, Hangers, Hair dryer",142676103,Jorge,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.14745,41.38376,False
Vivenda Isabel Africa room,House,Private room,Real Bed,1,1125,flexible,3,1.0,2.0,365,60.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Wifi, Kitchen, Free parking on premises, Smoking allowed, Free street parking, Heating, Dryer, First aid kit, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Hot water, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Stove, BBQ grill, Patio or balcony, Garden or backyard, Host greets you",55039909,Isabel,"São Félix da Marinha, Porto, Portugal",Portugal,PT,Point,-8.62998,41.0264,False
Kihei Condo Steps to Beach w/ Pool & New AC!,Condominium,Entire home/apt,Real Bed,3,90,strict_14_with_grace_period,4,2.0,2.0,203,405.0,0.0,227.0,0.0,4.0,1,100.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Elevator, Washer, Dryer, Hair dryer, Iron, Bathtub, Bed linens, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Oven, BBQ grill, Patio or balcony, Beach essentials, Other, Beachfront",121679638,Evolve,"Kihei, HI, United States",United States,US,Point,-156.45783,20.7619,False
Azur Lodge and Beach House,House,Entire home/apt,Real Bed,4,1125,flexible,4,2.0,3.0,188,90.0,100.0,25.0,0.0,1.0,7,100.0,"TV, Cable TV, Wifi, Wheelchair accessible, Pool, Kitchen, Elevator, Heating, Washer, First aid kit, Safety card, Fire extinguisher, Essentials, Lock on bedroom door, Hangers, Iron",154667058,Isabel,"Porto, Porto, Portugal",Portugal,PT,Point,-8.7383,41.3398,False
"Aina Nalu Pumehana, in Old Lahaina",Apartment,Private room,Couch,3,10,strict_14_with_grace_period,3,1.0,1.0,0,204.0,200.0,150.0,45.0,2.0,39,98.0,"TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Free street parking, Hot tub, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, Iron, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill",10936436,James,"Lahaina, HI, United States",United States,US,Point,-156.67402,20.87291,True
"JK1,2人大床房+独立卫生间+地铁口楼上+朗豪坊+旺角闹市中心+女人街+购物街+美食中心",Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,111,345.0,0.0,0.0,0.0,1.0,12,85.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Elevator, Smoke detector, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Hot water, Bed linens, Ethernet connection, Luggage dropoff allowed, Well-lit path to entrance, Other",122131447,Debe,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,Point,114.17977,22.32187,True
Riverview at Lovely Harlem/UWS Home,Apartment,Private room,Real Bed,2,35,strict_14_with_grace_period,3,1.0,2.0,82,93.0,0.0,35.0,25.0,2.0,131,97.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Gym, Elevator, Free street parking, Buzzer/wireless intercom, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Luggage dropoff allowed, Long term stays allowed, Well-lit path to entrance, Step-free access, Wide doorway, Wide clearance to bed, Step-free access, Wide doorway, Step-free access, Wide entryway, Other",10929872,Carlyn,"New York, NY, United States",United States,US,Point,-73.95353,40.81968,True
"FANTASTIC APARTMENTS, LUX RESIDENCE",Apartment,Entire home/apt,Real Bed,1,1125,flexible,3,1.0,1.0,365,348.0,509.4304235090752,94.07480119284294,0.0,1.0,1,100.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Smoking allowed, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Safety card, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private entrance",150413080,Rasha,"Beylikdüzü Osb, İstanbul, Turkey",Turkey,TR,Point,28.69811,41.00188,False
Stylish executive studio in inner Sydney,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,3,1.0,2.0,0,171.0,250.0,155.0,0.0,3.0,24,93.0,"TV, Internet, Wifi, Hot tub, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Bathtub, High chair, Room-darkening shades, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Oven, Stove, Patio or balcony, Garden or backyard",36410227,Sabrina,"Pyrmont, Australia",Australia,AU,Point,151.19355,-33.86632,True
"Gorgeous Garden Retreat in trendy, quaint Kaimuki",House,Entire home/apt,Real Bed,30,1125,strict_14_with_grace_period,8,4.0,5.0,34,290.0,2500.0,400.0,0.0,1.0,13,100.0,"TV, Cable TV, Wifi, Kitchen, Free parking on premises, Free street parking, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private entrance, Children’s books and toys, Babysitter recommendations, Pack ’n Play/travel crib, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Patio or balcony, Beach essentials, Luggage dropoff allowed, Long term stays allowed, Well-lit path to entrance",34916891,Greg,"Honolulu, HI, United States",United States,US,Point,-157.80199,21.28063,True
"Sleeps 4, One Block from Waikiki Beach",Condominium,Entire home/apt,Real Bed,1,31,moderate,4,0.0,2.0,250,89.0,100.0,100.0,0.0,1.0,43,88.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Paid parking off premises, Elevator, Hot tub, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, BBQ grill, Patio or balcony, Garden or backyard, Beach essentials, Long term stays allowed, Step-free access, Wide entryway, Host greets you",43793840,Mark,"Honolulu, HI, United States",United States,US,Point,-157.82482,21.27579,True
Boutique Room in Taksim 5 Free wi_fi,Hotel,Private room,Real Bed,2,1125,moderate,2,1.0,1.0,362,158.0,0.0,0.0,0.0,1.0,7,86.0,"TV, Wifi, Air conditioning, Paid parking off premises, Heating, Smoke detector, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Luggage dropoff allowed, Long term stays allowed, Host greets you",154955802,Salih,"Şişli, İstanbul, Turkey",Turkey,TR,Point,28.98611,41.04295,False
Double Room In Shared Designer Apartment,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,19,90.0,509.4304235090752,94.07480119284294,0.0,1.0,57,98.0,"TV, Wifi, Kitchen, Free street parking, Indoor fireplace, Washer, Smoke detector, Essentials, Shampoo, Hair dryer, Iron, Private living room, Hot water, Other",146767211,Martin,"Manly, NSW, Australia",Australia,AU,Point,151.27924,-33.79599,True
APPARTEMENT MODERNE,Guesthouse,Private room,Real Bed,2,1125,moderate,4,2.0,2.0,55,40.0,0.0,8.0,13.0,1.0,31,94.0,"TV, Wifi, Kitchen, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Hair dryer, Iron, Private living room",157679873,Serge,"Montréal, Québec, Canada",Canada,CA,Point,-73.61619,45.61603,True
Casa Amarela - The Garden,Apartment,Entire home/apt,Real Bed,2,1125,moderate,6,2.0,3.0,299,60.0,0.0,35.0,15.0,2.0,34,98.0,"TV, Cable TV, Wifi, Kitchen, Paid parking off premises, Heating, Family/kid friendly, Washer, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private entrance, Bathtub, High chair, Crib, Pack ’n Play/travel crib, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Garden or backyard, Long term stays allowed, Flat path to front door, Well-lit path to entrance, Host greets you, Handheld shower head",157929828,Casa,"Porto, Porto, Portugal",Portugal,PT,Point,-8.6109,41.15469,False
Charming apartment facing Laurier park,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2,1.0,1.0,0,60.0,150.0,30.0,50.0,2.0,2,100.0,"Wifi, Kitchen, Free parking on premises, Heating, Smoke detector, Essentials, Lock on bedroom door, Hangers, Laptop friendly workspace, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony",22242873,Tim,"Montréal, Québec, Canada",Canada,CA,Point,-73.5851,45.53195,True
Ultra Comfy Flat & Perfect Location,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,88,195.0,509.4304235090752,132.0,95.0,2.0,11,96.0,"TV, Cable TV, Wifi, Kitchen, Paid parking off premises, Smoking allowed, Heating, Washer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Window guards, Crib, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Patio or balcony, Luggage dropoff allowed, Long term stays allowed, Wide hallway clearance, Wide doorway, Well-lit path to entrance, Step-free access, Step-free access, Step-free access, Wide entryway, Host greets you",2769925,Pelin,"Beyoğlu, İstanbul, Turkey",Turkey,TR,Point,28.98195,41.02808,False
PROS - Family Heaven in the Heart of Manly,House,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,7,4.0,4.0,24,499.0,3000.0,418.0,0.0,1.0,0,95.0,"TV, Wifi, Kitchen, Free parking on premises, Indoor fireplace, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, Other",99141846,PPLuxury,"Manly, NSW, Australia",Australia,AU,Point,151.28537,-33.79054,True
The best Williamsburg has to offer!,Apartment,Entire home/apt,Real Bed,2,120,strict_14_with_grace_period,4,1.0,2.0,333,320.0,509.4304235090752,200.0,15.0,2.0,157,96.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Pets allowed, Gym, Elevator, Free street parking, Indoor fireplace, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Luggage dropoff allowed, Long term stays allowed",4630562,Edward,"Brooklyn, NY, United States",United States,US,Point,-73.96351,40.71587,True
Modern Kailua Getaway with Private Access to Beach,Guest suite,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,0.0,2.0,278,270.0,300.0,150.0,300.0,4.0,62,100.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Free street parking, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private entrance, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Garden or backyard, Beach essentials, Long term stays allowed",1964650,John,"Kailua, HI, United States",United States,US,Point,-157.74463,21.41425,True
城堡山民宿2,Villa,Private room,Real Bed,180,1125,flexible,1,1.0,1.0,363,33.0,131.0,15.0,0.0,1.0,1,80.0,"TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Heating, Washer, Smoke detector, Carbon monoxide detector, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Oven, Stove, Single level home, Luggage dropoff allowed, Long term stays allowed, Cleaning before checkout",55163980,Echo,"Castle Hill, NSW, Australia",Australia,AU,Point,151.0034,-33.72709,False
( ͡° ͜ʖ ͡°) Baaasic Spaaace (ฅ´ω`ฅ),Apartment,Shared room,Real Bed,1,8,flexible,2,1.0,1.0,0,79.0,509.4304235090752,94.07480119284294,0.0,1.0,1,100.0,"Wifi, Air conditioning, Kitchen, Pets allowed, Breakfast, Elevator, Washer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hair dryer, Host greets you",34326735,Jocky,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,Point,114.16981,22.30765,False
The Bohemian Nest | Santo Ildefonso | Bedroom#2,Apartment,Private room,Real Bed,2,1000,moderate,2,1.0,1.0,189,24.0,0.0,15.0,0.0,1.0,34,93.0,"TV, Cable TV, Internet, Wifi, Kitchen, Paid parking off premises, Free street parking, Heating, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Private entrance, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Patio or balcony, Long term stays allowed, Host greets you, Paid parking on premises",140101314,Catarina,"Porto, Porto, Portugal",Portugal,PT,Point,-8.60005,41.14891,False
Barcelona Apartment Sarrià Pedralbes,Apartment,Entire home/apt,Real Bed,3,330,strict_14_with_grace_period,6,3.0,5.0,316,75.0,150.0,90.0,21.0,2.0,0,95.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Elevator, Indoor fireplace, Heating, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Private entrance, High chair, Crib, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Oven, Stove, Patio or balcony, Luggage dropoff allowed, Long term stays allowed, Step-free access, Step-free access, Step-free access, Host greets you",157250994,Apartment Barcino,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.13911,41.40216,True
Comfortable & Bright Studio in the East Village,Apartment,Entire home/apt,Real Bed,2,29,strict_14_with_grace_period,3,0.0,1.0,0,180.0,200.0,50.0,50.0,3.0,6,97.0,"TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private entrance, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove",3281798,Guillermo,"New York, NY, United States",United States,US,Point,-73.98152,40.73014,True
Bondi beach at your doorstep.,Apartment,Entire home/apt,Real Bed,5,20,strict_14_with_grace_period,2,0.0,1.0,0,139.0,509.4304235090752,94.07480119284294,0.0,1.0,1,100.0,"Wifi, Kitchen, Essentials, Hangers, Hair dryer, Iron, Hot water, Bed linens, Microwave, Coffee maker, Dishes and silverware, Cooking basics, Oven, Stove, Host greets you",2388306,Kinga,"Bondi Beach, NSW, Australia",Australia,AU,Point,151.28347,-33.89228,False
A Bright Brooklyn Apartment With A Private Balcony,Apartment,Entire home/apt,Real Bed,3,12,strict_14_with_grace_period,2,1.0,1.0,1,98.0,509.4304235090752,40.0,0.0,1.0,10,98.0,"TV, Wifi, Air conditioning, Kitchen, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Essentials, Shampoo, Lock on bedroom door, Hair dryer, Iron, Laptop friendly workspace, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony",4434595,Jamie,"Brooklyn, NY, United States",United States,US,Point,-73.94557,40.68717,True
Came and be happy in Copacabana!!!,Apartment,Entire home/apt,Real Bed,7,10,strict_14_with_grace_period,3,1.0,4.0,365,175.0,1000.0,120.0,100.0,3.0,0,95.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Smoking allowed, Pets allowed, Doorman, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Essentials, Hangers, Hair dryer",9465134,Aline,"Rio, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.17576132873204,-22.952301437846344,False
BEAUTIFUL*Partial Ocean View by TOP Swimming Beach,Apartment,Entire home/apt,Real Bed,3,60,strict_14_with_grace_period,4,1.0,2.0,316,308.0,0.0,100.0,0.0,1.0,34,98.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Elevator, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Self check-in, Keypad, Private entrance, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Oven, Stove, BBQ grill, Patio or balcony, Garden or backyard",5786717,Viktoria,"Kihei, HI, United States",United States,US,Point,-156.4426,20.71134,True
Villa Porto - New!,House,Entire home/apt,Real Bed,4,1125,super_strict_60,6,3.0,5.0,0,255.0,450.0,50.0,0.0,1.0,1,100.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Free street parking, Heating, Family/kid friendly, Washer, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Self check-in, Building staff, Private entrance, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill",17070749,Allure Villas,"Porto, Porto, Portugal",Portugal,PT,Point,-8.66703,41.16774,True
Sand Sun Surf w Parking. City 9km,House,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,15,4.0,10.0,168,340.0,300.0,180.0,40.0,8.0,174,89.0,"TV, Wifi, Kitchen, Free parking on premises, Pets allowed, Gym, Free street parking, Hot tub, Heating, Washer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50, Self check-in, Lockbox, Private living room, Hot water, Bed linens, Extra pillows and blankets, Microwave, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Garden or backyard, Luggage dropoff allowed",4525873,Marcella,"Sydney, NSW, Australia",Australia,AU,Point,151.2557,-33.9455,True
Spacious Room close to the Station and Sydney CBD,Apartment,Private room,Real Bed,1,30,moderate,2,1.0,1.0,0,100.0,509.4304235090752,10.0,0.0,1.0,11,100.0,"TV, Wifi, Kitchen, Free parking on premises, Breakfast, Washer, Dryer, Smoke detector, First aid kit, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Host greets you",77166809,Ellie,"Artarmon, NSW, Australia",Australia,AU,Point,151.18731,-33.81257,True
THE DOURO WINDOW,Loft,Entire home/apt,Real Bed,2,1125,flexible,3,1.0,2.0,0,90.0,509.4304235090752,94.07480119284294,0.0,1.0,46,98.0,"TV, Cable TV, Wifi, Kitchen, Free parking on premises, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private entrance, Hot water, Long term stays allowed, Host greets you",157666301,Gil,"Vila Nova de Gaia, Porto, Portugal",Portugal,PT,Point,-8.62536,41.14151,True
Art Gallery Apartment 2B,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,2.0,3.0,232,90.0,250.0,50.0,20.0,2.0,11,94.0,"TV, Wifi, Air conditioning, Kitchen, Elevator, Heating, Family/kid friendly, Essentials, Shampoo, Hangers, Hair dryer, Iron",21873399,Sol,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.1645,41.37343,True
Appartement coeur de porto,Apartment,Entire home/apt,Real Bed,2,30,flexible,4,1.0,2.0,355,60.0,0.0,0.0,10.0,2.0,5,80.0,"TV, Wifi, Kitchen, Pets allowed, Family/kid friendly, Smoke detector, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace",30033862,Jeje,"Porto, Porto, Portugal",Portugal,PT,Point,-8.61166,41.15184,False
Close to Ortakoy Square and Public Transportation,Apartment,Private room,Real Bed,2,1125,flexible,1,1.0,1.0,83,47.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Wifi, Kitchen, Smoking allowed, Pets allowed, Heating, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room",11997799,Onur,"Beşiktaş, İstanbul, Turkey",Turkey,TR,Point,29.02181,41.05381,False
Wonderful Color blends Studio Square Victoria!,Serviced apartment,Entire home/apt,Real Bed,30,1125,moderate,2,0.0,1.0,361,81.0,300.0,75.0,0.0,1.0,0,95.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Pets allowed, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox",38459934,Alejandro,"Montréal, Québec, Canada",Canada,CA,Point,-73.56466,45.50362,True
House for Friends in Porto Downtown - Bedroom 4,House,Private room,Real Bed,3,30,moderate,2,1.0,1.0,66,25.0,150.0,5.0,50.0,2.0,7,94.0,"TV, Wifi, Kitchen, Paid parking off premises, Free street parking, Heating, First aid kit, Safety card, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Host greets you",5510997,António,"Porto, Porto, Portugal",Portugal,PT,Point,-8.61051,41.15615,True
Inside Porto Apartments-Mouzinho,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,0.0,1.0,365,65.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"TV, Wifi, Air conditioning, Kitchen, Family/kid friendly, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Private entrance, Crib, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed",50222081,Rita Lemos Almeida,"Porto, Porto, Portugal",Portugal,PT,Point,-8.61247,41.14513,False
Centrally located room in Besiktas,Condominium,Private room,Real Bed,1,10,flexible,1,1.0,1.0,0,58.0,509.4304235090752,94.07480119284294,0.0,1.0,3,100.0,"TV, Cable TV, Wifi, Heating, Washer, Essentials, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Pocket wifi, Host greets you",157870012,Seyma,"Beşiktaş, İstanbul, Turkey",Turkey,TR,Point,29.00531,41.04544,False
BONDI BEACH HIDE AWAY ❤️,Apartment,Entire home/apt,Real Bed,2,1124,flexible,2,1.0,1.0,146,139.0,200.0,139.0,0.0,1.0,49,98.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Heating, Washer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Private entrance, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Full kitchen",38141476,Kasey,"Bondi Beach, NSW, Australia",Australia,AU,Point,151.2724,-33.89243,True
